Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=320.MNA.Q.Y.I8.W2.S1.S1.B.B1GQ._Z._Z._Z.IX.D.N
,MNA.Q.Y.I8.W2.S1.S1.B.B1GQ._Z._Z._Z.IX.D.N
,"Gross domestic product at market prices - Euro area 19 (fixed composition) - Domestic (home or reference area), Total economy, Index, Deflator (index), Non transformed data, Calendar and seasonally adjusted data"
Collection:,Average of observations through period (A)
Period\Unit:,
2021Q1,107.96
2020Q4,107.22
2020Q3,106.28
2020Q2,107.49
2020Q1,106.35
2019Q4,105.85
2019Q3,105.43
2019Q2,105.00
2019Q1,104.56
2018Q4,104.13
2018Q3,103.58
2018Q2,103.20
2018Q1,102.88
2017Q4,102.53
2017Q3,102.17
2017Q2,101.91
2017Q1,101.46
2016Q4,101.16
2016Q3,101.09
2016Q2,100.81
2016Q1,100.67
2015Q4,100.39
2015Q3,100.24
2015Q2,99.86
2015Q1,99.51
2014Q4,98.96
2014Q3,98.67
2014Q2,98.48
2014Q1,98.37
2013Q4,97.87
2013Q3,97.83
2013Q2,97.67
2013Q1,97.41
2012Q4,96.94
2012Q3,96.66
2012Q2,96.32
2012Q1,96.08
2011Q4,95.72
2011Q3,95.41
2011Q2,95.11
2011Q1,94.85
2010Q4,94.65
2010Q3,94.45
2010Q2,94.02
2010Q1,93.94
2009Q4,93.78
2009Q3,93.57
2009Q2,93.53
2009Q1,93.72
2008Q4,93.29
2008Q3,92.94
2008Q2,92.75
2008Q1,92.21
2007Q4,91.83
2007Q3,91.07
2007Q2,90.59
2007Q1,90.19
2006Q4,89.44
2006Q3,88.95
2006Q2,88.48
2006Q1,87.98
2005Q4,87.70
2005Q3,87.06
2005Q2,86.73
2005Q1,86.31
2004Q4,85.96
2004Q3,85.50
2004Q2,85.23
2004Q1,84.72
2003Q4,84.24
2003Q3,84.11
2003Q2,83.53
2003Q1,83.03
2002Q4,82.49
2002Q3,82.18
2002Q2,81.57
2002Q1,81.37
2001Q4,80.80
2001Q3,80.18
2001Q2,79.62
2001Q1,79.17
2000Q4,78.58
2000Q3,78.18
2000Q2,77.79
2000Q1,77.50
1999Q4,77.25
1999Q3,77.01
1999Q2,76.86
1999Q1,76.69
1998Q4,76.56
1998Q3,75.83
1998Q2,75.48
1998Q1,75.08
1997Q4,75.19
1997Q3,74.89
1997Q2,74.75
1997Q1,74.95
1996Q4,75.21
1996Q3,75.42
1996Q2,75.09
1996Q1,74.70
1995Q4,74.18
1995Q3,73.72
1995Q2,72.72
1995Q1,72.21
