Data Source in SDW: https://sdw.ecb.europa.eu/browseChart.do?org.apache.struts.taglib.html.TOKEN=f5f99530ec8f3823b632569651605961&ICP_SUFFIX.19=INX&df=true&MAX_DOWNLOAD_SERIES=500&DATASET=0&org.apache.struts.taglib.html.TOKEN=2dee88646bd76acd585b6798fe38695e&org.apache.struts.taglib.html.TOKEN=42b2cb0094d9a92cb32bc0c2eefb98bc&legendRef=reference&node=1496&SERIES_MAX_NUM=50&ICP_ITEM.19=000000&ICP_ITEM.19=GOODS0&ICP_ITEM.19=SERV00&ADJUSTMENT.19=Y&activeTab=ICP&start=&end=&submitOptions.x=0&submitOptions.y=0&trans=N&q=
,ICP.M.U2.Y.000000.3.INX,ICP.M.U2.Y.GOODS0.3.INX,ICP.M.U2.Y.SERV00.3.INX
,HICP - Overall index,HICP - Goods,HICP - Services
Collection:,Average of observations through period (A),Average of observations through period (A),Average of observations through period (A)
Period\Unit:,[2015 = 100],[2015 = 100],[2015 = 100]
2021Sep,108.39,108.02,108.59
2021Aug,108.16,107.95,108.18
2021Jul,107.83,107.56,107.98
2021Jun,107.18,106.53,107.94
2021May,106.88,106.12,107.73
2021Apr,106.72,105.92,107.62
2021Mar,106.54,105.63,107.58
2021Feb,106.35,105.39,107.46
2021Jan,106.26,105.27,107.39
2020Dec,105.09,103.54,107.03
2020Nov,104.96,103.46,106.83
2020Oct,104.85,103.44,106.61
2020Sep,104.73,103.28,106.51
2020Aug,104.78,103.38,106.55
2020Jul,105.27,104.25,106.58
2020Jun,105.06,103.68,106.89
2020May,104.84,103.42,106.65
2020Apr,105.03,103.74,106.68
2020Mar,105.20,104.30,106.34
2020Feb,105.47,104.75,106.39
2020Jan,105.46,104.84,106.23
2019Dec,105.39,104.63,106.34
2019Nov,105.25,104.48,106.20
2019Oct,105.13,104.31,106.16
2019Sep,105.06,104.29,106.01
2019Aug,104.99,104.29,105.87
2019Jul,104.91,104.32,105.68
2019Jun,104.81,104.23,105.62
2019May,104.76,104.38,105.27
2019Apr,104.71,104.12,105.49
2019Mar,104.38,103.96,104.91
2019Feb,104.17,103.82,104.63
2019Jan,104.04,103.61,104.57
2018Dec,104.02,103.65,104.48
2018Nov,104.32,104.22,104.45
2018Oct,104.33,104.23,104.45
2018Sep,104.12,103.95,104.35
2018Aug,103.84,103.49,104.27
2018Jul,103.73,103.39,104.18
2018Jun,103.56,103.24,104.05
2018May,103.43,102.97,104.02
2018Apr,103.04,102.50,103.76
2018Mar,102.89,102.26,103.69
2018Feb,102.74,102.23,103.40
2018Jan,102.74,102.37,103.21
2017Dec,102.43,101.94,103.06
2017Nov,102.32,101.82,102.97
2017Oct,102.01,101.46,102.71
2017Sep,101.98,101.26,102.91
2017Aug,101.76,100.95,102.79
2017Jul,101.58,100.74,102.67
2017Jun,101.50,100.77,102.48
2017May,101.54,100.94,102.32
2017Apr,101.67,101.07,102.46
2017Mar,101.49,101.05,102.05
2017Feb,101.58,101.29,101.96
2017Jan,101.40,101.11,101.78
2016Dec,101.05,100.50,101.76
2016Nov,100.75,100.09,101.59
2016Oct,100.64,100.02,101.43
2016Sep,100.43,99.76,101.28
2016Aug,100.30,99.65,101.14
2016Jul,100.32,99.74,101.06
2016Jun,100.30,99.79,100.98
2016May,100.09,99.49,100.86
2016Apr,99.85,99.16,100.75
2016Mar,99.84,99.03,100.87
2016Feb,99.62,98.79,100.69
2016Jan,99.68,98.92,100.66
2015Dec,99.95,99.48,100.56
2015Nov,100.15,99.90,100.46
2015Oct,100.12,99.93,100.35
2015Sep,100.04,99.91,100.21
2015Aug,100.10,100.10,100.09
2015Jul,100.16,100.34,99.93
2015Jun,100.25,100.50,99.94
2015May,100.21,100.46,99.89
2015Apr,100.02,100.26,99.73
2015Mar,99.92,100.12,99.66
2015Feb,99.73,99.74,99.70
2015Jan,99.36,99.25,99.49
2014Dec,99.52,99.92,99.02
2014Nov,99.80,100.49,98.91
2014Oct,99.87,100.75,98.72
2014Sep,99.98,101.01,98.66
2014Aug,99.88,100.87,98.59
2014Jul,99.83,100.89,98.46
2014Jun,99.83,100.92,98.42
2014May,99.75,100.87,98.30
2014Apr,99.84,100.95,98.42
2014Mar,99.81,101.03,98.22
2014Feb,99.84,101.15,98.13
2014Jan,99.76,101.13,97.99
2013Dec,99.69,101.14,97.82
2013Nov,99.49,100.85,97.74
2013Oct,99.48,101.00,97.51
2013Sep,99.66,101.29,97.54
2013Aug,99.58,101.24,97.44
2013Jul,99.52,101.22,97.32
2013Jun,99.36,101.01,97.23
2013May,99.22,100.84,97.12
2013Apr,99.18,100.89,96.98
2013Mar,99.27,100.99,97.04
2013Feb,99.14,100.91,96.83
2013Jan,99.00,100.69,96.82
2012Dec,98.77,100.40,96.68
2012Nov,98.68,100.40,96.44
2012Oct,98.75,100.57,96.38
2012Sep,98.61,100.44,96.23
2012Aug,98.33,100.04,96.11
2012Jul,98.00,99.54,96.00
2012Jun,97.80,99.29,95.89
2012May,97.80,99.43,95.70
2012Apr,97.91,99.64,95.67
2012Mar,97.65,99.34,95.46
2012Feb,97.35,98.90,95.33
2012Jan,97.07,98.52,95.20
2011Dec,96.63,97.92,94.97
2011Nov,96.54,97.86,94.84
2011Oct,96.33,97.60,94.70
2011Sep,96.09,97.28,94.58
2011Aug,95.87,96.98,94.47
2011Jul,95.72,96.80,94.35
2011Jun,95.50,96.57,94.16
2011May,95.49,96.63,94.04
2011Apr,95.43,96.56,93.99
2011Mar,95.08,96.14,93.75
2011Feb,94.75,95.69,93.57
2011Jan,94.53,95.47,93.36
2010Dec,94.07,94.81,93.16
2010Nov,93.75,94.31,93.08
2010Oct,93.57,94.05,93.01
2010Sep,93.41,93.93,92.81
2010Aug,93.31,93.85,92.66
2010Jul,93.22,93.80,92.53
