DATE	CPIAUCSL	MEDCPIM158SFRBCLE	PCEPI	PCEPILFE	PCETRIM12M159SFRBDAL	TRMMEANCPIM158SFRBCLE
1947-01-01	21.480					
1947-02-01	21.620					
1947-03-01	22.000					
1947-04-01	22.000					
1947-05-01	21.950					
1947-06-01	22.080					
1947-07-01	22.230					
1947-08-01	22.400					
1947-09-01	22.840					
1947-10-01	22.910					
1947-11-01	23.060					
1947-12-01	23.410					
1948-01-01	23.680					
1948-02-01	23.670					
1948-03-01	23.500					
1948-04-01	23.820					
1948-05-01	24.010					
1948-06-01	24.150					
1948-07-01	24.400					
1948-08-01	24.430					
1948-09-01	24.360					
1948-10-01	24.310					
1948-11-01	24.160					
1948-12-01	24.050					
1949-01-01	24.010					
1949-02-01	23.910					
1949-03-01	23.910					
1949-04-01	23.920					
1949-05-01	23.910					
1949-06-01	23.920					
1949-07-01	23.700					
1949-08-01	23.700					
1949-09-01	23.750					
1949-10-01	23.670					
1949-11-01	23.700					
1949-12-01	23.610					
1950-01-01	23.510					
1950-02-01	23.610					
1950-03-01	23.640					
1950-04-01	23.650					
1950-05-01	23.770					
1950-06-01	23.880					
1950-07-01	24.070					
1950-08-01	24.200					
1950-09-01	24.340					
1950-10-01	24.500					
1950-11-01	24.600					
1950-12-01	24.980					
1951-01-01	25.380					
1951-02-01	25.830					
1951-03-01	25.880					
1951-04-01	25.920					
1951-05-01	25.990					
1951-06-01	25.930					
1951-07-01	25.910					
1951-08-01	25.860					
1951-09-01	26.030					
1951-10-01	26.160					
1951-11-01	26.320					
1951-12-01	26.470					
1952-01-01	26.450					
1952-02-01	26.410					
1952-03-01	26.390					
1952-04-01	26.460					
1952-05-01	26.470					
1952-06-01	26.530					
1952-07-01	26.680					
1952-08-01	26.690					
1952-09-01	26.630					
1952-10-01	26.690					
1952-11-01	26.690					
1952-12-01	26.710					
1953-01-01	26.640					
1953-02-01	26.590					
1953-03-01	26.630					
1953-04-01	26.690					
1953-05-01	26.700					
1953-06-01	26.770					
1953-07-01	26.790					
1953-08-01	26.850					
1953-09-01	26.890					
1953-10-01	26.950					
1953-11-01	26.850					
1953-12-01	26.870					
1954-01-01	26.940					
1954-02-01	26.990					
1954-03-01	26.930					
1954-04-01	26.860					
1954-05-01	26.930					
1954-06-01	26.940					
1954-07-01	26.860					
1954-08-01	26.850					
1954-09-01	26.810					
1954-10-01	26.720					
1954-11-01	26.780					
1954-12-01	26.770					
1955-01-01	26.770					
1955-02-01	26.820					
1955-03-01	26.790					
1955-04-01	26.790					
1955-05-01	26.770					
1955-06-01	26.710					
1955-07-01	26.760					
1955-08-01	26.720					
1955-09-01	26.850					
1955-10-01	26.820					
1955-11-01	26.880					
1955-12-01	26.870					
1956-01-01	26.830					
1956-02-01	26.860					
1956-03-01	26.890					
1956-04-01	26.930					
1956-05-01	27.030					
1956-06-01	27.150					
1956-07-01	27.290					
1956-08-01	27.310					
1956-09-01	27.350					
1956-10-01	27.510					
1956-11-01	27.510					
1956-12-01	27.630					
1957-01-01	27.670					
1957-02-01	27.800					
1957-03-01	27.860					
1957-04-01	27.930					
1957-05-01	28.000					
1957-06-01	28.110					
1957-07-01	28.190					
1957-08-01	28.280					
1957-09-01	28.320					
1957-10-01	28.320					
1957-11-01	28.410					
1957-12-01	28.470					
1958-01-01	28.640					
1958-02-01	28.700					
1958-03-01	28.870					
1958-04-01	28.940					
1958-05-01	28.940					
1958-06-01	28.910					
1958-07-01	28.890					
1958-08-01	28.940					
1958-09-01	28.910					
1958-10-01	28.910					
1958-11-01	28.950					
1958-12-01	28.970					
1959-01-01	29.010		16.042	16.688		
1959-02-01	29.000		16.057	16.701		
1959-03-01	28.970		16.068	16.719		
1959-04-01	28.980		16.100	16.762		
1959-05-01	29.040		16.109	16.783		
1959-06-01	29.110		16.155	16.832		
1959-07-01	29.150		16.189	16.871		
1959-08-01	29.180		16.212	16.899		
1959-09-01	29.250		16.255	16.943		
1959-10-01	29.350		16.294	16.972		
1959-11-01	29.350		16.304	17.003		
1959-12-01	29.410		16.323	17.029		
1960-01-01	29.370		16.314	17.033		
1960-02-01	29.410		16.331	17.065		
1960-03-01	29.410		16.340	17.067		
1960-04-01	29.540		16.400	17.098		
1960-05-01	29.570		16.417	17.125		
1960-06-01	29.610		16.424	17.136		
1960-07-01	29.550		16.453	17.166		
1960-08-01	29.610		16.481	17.191		
1960-09-01	29.610		16.491	17.204		
1960-10-01	29.750		16.510	17.214		
1960-11-01	29.780		16.565	17.260		
1960-12-01	29.810		16.569	17.255		
1961-01-01	29.840		16.571	17.259		
1961-02-01	29.840		16.587	17.276		
1961-03-01	29.840		16.578	17.282		
1961-04-01	29.810		16.568	17.306		
1961-05-01	29.840		16.577	17.328		
1961-06-01	29.840		16.585	17.354		
1961-07-01	29.920		16.621	17.381		
1961-08-01	29.940		16.635	17.399		
1961-09-01	29.980		16.654	17.434		
1961-10-01	29.980		16.652	17.440		
1961-11-01	29.980		16.653	17.443		
1961-12-01	30.010		16.658	17.458		
1962-01-01	30.040		16.689	17.478		
1962-02-01	30.110		16.734	17.507		
1962-03-01	30.170		16.756	17.548		
1962-04-01	30.210		16.775	17.551		
1962-05-01	30.240		16.786	17.576		
1962-06-01	30.210		16.796	17.608		
1962-07-01	30.220		16.787	17.623		
1962-08-01	30.280		16.811	17.626		
1962-09-01	30.420		16.894	17.660		
1962-10-01	30.380		16.876	17.659		
1962-11-01	30.380		16.889	17.672		
1962-12-01	30.380		16.882	17.677		
1963-01-01	30.440		16.923	17.711		
1963-02-01	30.480		16.941	17.731		
1963-03-01	30.510		16.928	17.742		
1963-04-01	30.480		16.927	17.763		
1963-05-01	30.510		16.954	17.795		
1963-06-01	30.610		16.991	17.826		
1963-07-01	30.690		17.025	17.842		
1963-08-01	30.750		17.048	17.858		
1963-09-01	30.720		17.044	17.890		
1963-10-01	30.750		17.078	17.930		
1963-11-01	30.780		17.102	17.947		
1963-12-01	30.880		17.127	17.972		
1964-01-01	30.940		17.163	17.997		
1964-02-01	30.910		17.188	18.031		
1964-03-01	30.940		17.198	18.048		
1964-04-01	30.950		17.211	18.065		
1964-05-01	30.980		17.213	18.080		
1964-06-01	31.010		17.237	18.093		
1964-07-01	31.020		17.259	18.111		
1964-08-01	31.050		17.273	18.135		
1964-09-01	31.080		17.299	18.143		
1964-10-01	31.120		17.310	18.149		
1964-11-01	31.210		17.334	18.176		
1964-12-01	31.250		17.359	18.201		
1965-01-01	31.280		17.378	18.226		
1965-02-01	31.280		17.385	18.248		
1965-03-01	31.310		17.408	18.258		
1965-04-01	31.380		17.435	18.280		
1965-05-01	31.480		17.474	18.314		
1965-06-01	31.610		17.525	18.309		
1965-07-01	31.580		17.538	18.327		
1965-08-01	31.550		17.542	18.362		
1965-09-01	31.620		17.550	18.384		
1965-10-01	31.650		17.556	18.377		
1965-11-01	31.750		17.585	18.411		
1965-12-01	31.850		17.649	18.467		
1966-01-01	31.880		17.670	18.473		
1966-02-01	32.080		17.743	18.518		
1966-03-01	32.180		17.786	18.542		
1966-04-01	32.280		17.848	18.608		
1966-05-01	32.350		17.870	18.657		
1966-06-01	32.380		17.915	18.718		
1966-07-01	32.450		17.949	18.773		
1966-08-01	32.650		18.018	18.807		
1966-09-01	32.750		18.075	18.865		
1966-10-01	32.850		18.123	18.927		
1966-11-01	32.880		18.150	18.975		
1966-12-01	32.920		18.187	19.032		
1967-01-01	32.900		18.188	19.050		
1967-02-01	33.000		18.209	19.084		
1967-03-01	33.000		18.220	19.113		
1967-04-01	33.100		18.249	19.165		
1967-05-01	33.100		18.285	19.208		
1967-06-01	33.300		18.343	19.257		
1967-07-01	33.400		18.405	19.322		
1967-08-01	33.500		18.463	19.382		
1967-09-01	33.600		18.519	19.450		
1967-10-01	33.700		18.570	19.523		
1967-11-01	33.900		18.632	19.585		
1967-12-01	34.000		18.661	19.633		
1968-01-01	34.100		18.748	19.720		
1968-02-01	34.200		18.824	19.805		
1968-03-01	34.300		18.886	19.884		
1968-04-01	34.400		18.945	19.957		
1968-05-01	34.500		19.015	20.033		
