Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=BASKET585006224
,ICP.M.U2.Y.000000.3.INX,SPF.M.U2.HICP.POINT.P12M.Q.AVG,SPF.M.U2.HICP.POINT.P24M.Q.AVG,SPF.Q.U2.HICP.POINT.LT.Q.AVG
,"Euro area (changing composition) - HICP - Overall index, Monthly Index, European Central Bank, Working day and seasonally adjusted",Euro area (changing composition) - Harmonised ICP - Point forecast - Target period ends 12 months after survey cycle begins - Quarterly survey,Euro area (changing composition) - Harmonised ICP - Point forecast - Target period ends 24 months after survey cycle begins - Quarterly survey,Euro area (changing composition) - Harmonised ICP - Point forecast - Longer term - Quarterly survey
Collection:,Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A)
Period\Unit:,[2015 = 100],[Percent per annum ],[Percent per annum ],[Percent per annum ]
2023-12-31,,,1.81,
2023-09-30,,,1.68,
2023-06-30,,,1.51,
2023-03-31,,,1.38,
2022-12-31,,1.81,1.36,
2022-09-30,,1.65,1.25,
2022-06-30,,1.43,1.28,
2022-03-31,,1.32,1.39,1.97
2022-02-28,112.38,,,
2022-01-31,111.54,,,
2021-12-31,110.36,1.30,1.42,1.90
2021-11-30,109.99,,,
2021-10-31,109.24,,,
2021-09-30,108.44,1.10,1.40,1.82
2021-08-31,108.20,,,
2021-07-31,107.88,,,
2021-06-30,107.19,1.05,1.49,1.68
2021-05-31,106.87,,,
2021-04-30,106.64,,,
2021-03-31,106.43,1.01,,1.69
2021-02-28,106.19,,1.60,
2021-01-31,106.15,,,
2020-12-31,105.13,1.28,1.66,1.66
2020-11-30,105.00,,,
2020-10-31,104.92,,,
2020-09-30,104.78,1.24,1.78,1.65
2020-08-31,104.82,,,
2020-07-31,105.32,,,
2020-06-30,105.09,1.33,1.73,1.67
2020-05-31,104.85,,,
2020-04-30,104.97,,,
2020-03-31,105.13,,1.73,1.66
2020-02-29,105.37,1.55,,
2020-01-31,105.40,,,
2019-12-31,105.41,1.58,1.73,1.67
2019-11-30,105.28,,,
2019-10-31,105.19,,,
2019-09-30,105.10,1.67,1.65,1.74
2019-08-31,105.01,,,
2019-07-31,104.94,,,
2019-06-30,104.83,1.62,1.63,1.79
2019-05-31,104.77,,,
2019-04-30,104.65,,,
2019-03-31,104.33,1.56,1.63,1.82
2019-02-28,104.13,,,
2019-01-31,104.00,,,
2018-12-31,104.02,1.56,1.53,1.88
2018-11-30,104.35,,,
2018-10-31,104.37,,,
2018-09-30,104.15,1.48,1.44,1.88
2018-08-31,103.85,,,
2018-07-31,103.74,,,
2018-06-30,103.56,1.45,1.45,1.87
2018-05-31,103.44,,,
2018-04-30,102.99,,,
2018-03-31,102.87,1.48,1.51,1.85
2018-02-28,102.71,,,
2018-01-31,102.72,,,
2017-12-31,102.43,1.38,1.51,1.88
2017-11-30,102.34,,,
2017-10-31,102.04,,,
2017-09-30,102.00,1.21,1.53,1.83
2017-08-31,101.77,,,
2017-07-31,101.57,,,
2017-06-30,101.51,1.14,1.54,1.80
2017-05-31,101.54,,,
2017-04-30,101.63,,,
2017-03-31,101.48,1.10,1.44,1.82
2017-02-28,101.58,,,
2017-01-31,101.41,,,
2016-12-31,101.07,1.15,1.22,1.83
2016-11-30,100.75,,,
2016-10-31,100.65,,,
2016-09-30,100.44,1.10,1.37,1.80
2016-08-31,100.29,,,
2016-07-31,100.30,,,
2016-06-30,100.29,1.21,1.49,1.81
2016-05-31,100.09,,,
2016-04-30,99.82,,,
2016-03-31,99.84,0.98,1.45,1.80
2016-02-29,99.61,,,
2016-01-31,99.69,,,
2015-12-31,99.95,0.76,1.53,1.86
2015-11-30,100.15,,,
2015-10-31,100.13,,,
2015-09-30,100.03,1.07,1.67,1.86
2015-08-31,100.09,,,
2015-07-31,100.16,,,
2015-06-30,100.25,1.18,1.72,1.84
2015-05-31,100.21,,,
2015-04-30,100.01,,,
2015-03-31,99.92,1.24,1.76,1.77
2015-02-28,99.73,,,
2015-01-31,99.37,,,
2014-12-31,99.52,1.35,1.82,1.80
2014-11-30,99.80,,,
2014-10-31,99.87,,,
2014-09-30,99.99,1.48,1.93,1.86
2014-08-31,99.88,,,
2014-07-31,99.83,,,
2014-06-30,99.83,1.53,1.89,1.85
2014-05-31,99.75,,,
2014-04-30,99.84,,,
2014-03-31,99.81,1.56,1.84,1.87
2014-02-28,99.83,,,
2014-01-31,99.76,,,
2013-12-31,99.69,1.72,1.70,1.93
2013-11-30,99.49,,,
2013-10-31,99.48,,,
2013-09-30,99.66,1.86,1.83,1.95
2013-08-31,99.58,,,
2013-07-31,99.52,,,
2013-06-30,99.36,1.76,1.93,1.97
2013-05-31,99.22,,,
2013-04-30,99.18,,,
2013-03-31,99.27,1.80,1.85,1.98
2013-02-28,99.13,,,
2013-01-31,99.00,,,
2012-12-31,98.78,1.66,1.80,1.98
2012-11-30,98.68,,,
2012-10-31,98.75,,,
2012-09-30,98.61,1.63,1.65,2.02
2012-08-31,98.33,,,
2012-07-31,98.00,,,
2012-06-30,97.80,1.95,1.69,1.99
2012-05-31,97.80,,,
2012-04-30,97.91,,,
2012-03-31,97.65,1.94,1.65,1.98
2012-02-29,97.34,,,
2012-01-31,97.06,,,
2011-12-31,96.63,1.79,1.65,2.01
2011-11-30,96.54,,,
2011-10-31,96.33,,,
2011-09-30,96.09,1.55,1.66,2.01
2011-08-31,95.87,,,
2011-07-31,95.72,,,
2011-06-30,95.50,1.48,1.58,1.96
2011-05-31,95.48,,,
2011-04-30,95.43,,,
2011-03-31,95.08,1.43,1.62,1.95
2011-02-28,94.75,,,
2011-01-31,94.53,,,
2010-12-31,94.07,1.38,1.71,1.90
2010-11-30,93.75,,,
2010-10-31,93.57,,,
2010-09-30,93.41,1.29,1.98,1.95
2010-08-31,93.31,,,
2010-07-31,93.22,,,
2010-06-30,93.09,1.21,2.11,1.91
2010-05-31,93.02,,,
2010-04-30,92.96,,,
2010-03-31,92.65,1.17,2.04,1.91
2010-02-28,92.34,,,
2010-01-31,92.30,,,
2009-12-31,92.04,1.44,1.97,1.92
2009-11-30,92.00,,,
2009-10-31,91.81,,,
2009-09-30,91.79,1.95,1.93,1.98
2009-08-31,91.85,,,
2009-07-31,91.62,,,
2009-06-30,91.77,2.40,1.95,1.93
2009-05-31,91.52,,,
2009-04-30,91.46,,,
2009-03-31,91.33,2.13,1.93,1.94
2009-02-28,91.43,,,
2009-01-31,91.28,,,
2008-12-31,91.23,1.99,1.88,1.99
2008-11-30,91.58,,,
2008-10-31,91.96,,,
2008-09-30,92.09,1.98,1.88,2.03
2008-08-31,92.01,,,
2008-07-31,92.19,,,
2008-06-30,91.91,1.96,1.90,1.95
2008-05-31,91.49,,,
2008-04-30,90.96,,,
2008-03-31,90.77,1.97,1.88,1.95
2008-02-29,90.34,,,
2008-01-31,90.22,,,
2007-12-31,89.82,2.04,1.92,1.93
2007-11-30,89.69,,,
2007-10-31,89.16,,,
2007-09-30,88.86,2.06,1.80,1.95
2007-08-31,88.66,,,
2007-07-31,88.58,,,
2007-06-30,88.40,2.07,1.80,1.92
2007-05-31,88.27,,,
2007-04-30,88.08,,,
2007-03-31,87.70,2.13,1.80,1.91
2007-02-28,87.51,,,
2007-01-31,87.38,,,
2006-12-31,87.16,1.89,1.79,1.92
2006-11-30,87.05,,,
2006-10-31,86.95,,,
2006-09-30,87.00,1.79,1.84,1.92
2006-08-31,87.13,,,
2006-07-31,87.01,,,
2006-06-30,86.76,1.74,1.87,1.91
2006-05-31,86.61,,,
2006-04-30,86.38,,,
2006-03-31,86.06,1.77,1.85,1.90
2006-02-28,85.91,,,
2006-01-31,85.77,,,
2005-12-31,85.54,1.72,1.80,1.88
2005-11-30,85.47,,,
2005-10-31,85.61,,,
2005-09-30,85.51,1.85,1.81,1.94
2005-08-31,85.15,,,
2005-07-31,84.94,,,
2005-06-30,84.67,1.78,1.72,1.89
2005-05-31,84.50,,,
2005-04-30,84.43,,,
2005-03-31,84.22,1.70,1.71,1.90
2005-02-28,83.92,,,
2005-01-31,83.73,,,
2004-12-31,83.69,1.69,1.81,1.89
2004-11-30,83.59,,,
2004-10-31,83.59,,,
2004-09-30,83.36,1.64,1.85,1.92
2004-08-31,83.31,,,
2004-07-31,83.13,,,
2004-06-30,83.01,1.50,1.85,1.91
2004-05-31,82.92,,,
2004-04-30,82.69,,,
2004-03-31,82.46,1.57,1.91,1.92
2004-02-29,82.21,,,
2004-01-31,82.09,,,
2003-12-31,81.81,1.76,1.84,1.94
2003-11-30,81.77,,,
2003-10-31,81.70,,,
2003-09-30,81.63,1.81,1.81,1.88
2003-08-31,81.42,,,
2003-07-31,81.23,,,
2003-06-30,81.09,1.78,1.77,1.88
2003-05-31,80.95,,,
2003-04-30,81.00,,,
2003-03-31,81.09,1.89,1.82,1.90
2003-02-28,80.86,,,
2003-01-31,80.61,,,
2002-12-31,80.23,1.74,1.74,1.85
2002-11-30,80.10,,,
2002-10-31,80.10,,,
2002-09-30,79.96,1.63,1.77,1.85
2002-08-31,79.80,,,
2002-07-31,79.68,,,
2002-06-30,79.50,1.80,1.80,
2002-05-31,79.49,,,
2002-04-30,79.41,,,
2002-03-31,79.19,1.78,1.76,
2002-02-28,79.01,,,
2002-01-31,78.92,,,
2001-12-31,78.42,1.67,1.71,
2001-11-30,78.32,,,
2001-10-31,78.33,,,
2001-09-30,78.32,1.82,1.71,
2001-08-31,78.13,,,
2001-07-31,78.09,,,
2001-06-30,78.04,1.81,1.67,
2001-05-31,77.91,,,
2001-04-30,77.57,,,
2001-03-31,77.28,1.71,1.66,
2001-02-28,77.11,,,
2001-01-31,76.88,,,
2000-12-31,76.93,1.64,1.50,
2000-11-30,77.03,,,
2000-10-31,76.80,,,
2000-09-30,76.75,1.52,,
2000-08-31,76.38,,,
2000-07-31,76.23,,,
2000-06-30,76.13,1.49,,
2000-05-31,75.84,,,
2000-04-30,75.73,,,
2000-03-31,75.74,1.46,,
2000-02-29,75.58,,,
2000-01-31,75.45,,,
1999-12-31,75.34,1.15,,
1999-11-30,75.13,,,
1999-10-31,75.01,,,
1999-09-30,74.89,,,
1999-08-31,74.80,,,
1999-07-31,74.66,,,
1999-06-30,74.50,,,
1999-05-31,74.48,,,
1999-04-30,74.50,,,
1999-03-31,74.22,,,
1999-02-28,74.07,,,
1999-01-31,74.04,,,
1998-12-31,74.04,,,
1998-11-30,74.04,,,
1998-10-31,74.04,,,
1998-09-30,74.01,,,
1998-08-31,73.97,,,
1998-07-31,73.90,,,
1998-06-30,73.87,,,
1998-05-31,73.81,,,
1998-04-30,73.71,,,
1998-03-31,73.57,,,
1998-02-28,73.55,,,
1998-01-31,73.52,,,
1997-12-31,73.54,,,
1997-11-30,73.50,,,
1997-10-31,73.41,,,
1997-09-30,73.33,,,
1997-08-31,73.22,,,
1997-07-31,73.01,,,
1997-06-30,72.91,,,
1997-05-31,72.87,,,
1997-04-30,72.76,,,
1997-03-31,72.77,,,
1997-02-28,72.79,,,
1997-01-31,72.82,,,
