Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=BASKET585121744,,,,,,,,,,,,,
,ICP.M.U2.N.SPRXEF.3.INX,ICP.M.U2.N.TRIM05.3.ANR,ICP.M.U2.N.TRIM10.3.ANR,ICP.M.U2.N.TRIM15.3.ANR,ICP.M.U2.N.TRIM20.3.ANR,ICP.M.U2.N.TRIM25.3.ANR,ICP.M.U2.N.TRIM30.3.ANR,ICP.M.U2.N.TRIM35.3.ANR,ICP.M.U2.N.TRIM40.3.ANR,ICP.M.U2.N.TRIM45.3.ANR,ICP.M.U2.N.TRIM50.3.ANR,ICP.M.U2.Y.000000.3.INX,ICP.M.U2.Y.XEF000.3.INX
,"Neither seasonally nor working day adjusted, HICP - Supercore, Index","Neither seasonally nor working day adjusted, Trimmed mean 5% (2.5% from each tail), Annual rate of change","Neither seasonally nor working day adjusted, Trimmed mean 10% (5% from each tail), Annual rate of change","Neither seasonally nor working day adjusted, Trimmed mean 15% (7.5% from each tail), Annual rate of change","Neither seasonally nor working day adjusted, Trimmed mean 20% (10% from each tail), Annual rate of change","Neither seasonally nor working day adjusted, Trimmed mean 25% (12.5% from each tail), Annual rate of change","Neither seasonally nor working day adjusted, Trimmed mean 30% (15% from each tail), Annual rate of change","Neither seasonally nor working day adjusted, Trimmed mean 35% (17.5% from each tail), Annual rate of change","Neither seasonally nor working day adjusted, Trimmed mean 40% (20% from each tail), Annual rate of change","Neither seasonally nor working day adjusted, Trimmed mean 45% (22.5% from each tail), Annual rate of change","Neither seasonally nor working day adjusted, Trimmed mean 50% (25% from each tail), Annual rate of change","Working day and seasonally adjusted, HICP - Overall index, Index","Working day and seasonally adjusted, HICP - All-items excluding energy and food, Index"
Collection:,Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A)
Period\Unit:,[2015 = 100],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[Percentage change ],[2015 = 100],[2015 = 100]
2021Sep,107.84,3,2.6,2.4,2.2,2.1,2.1,2.1,2,2,2,108.39,106.65
2021Aug,107.94,2.9,2.6,2.4,2.2,2.2,2.1,2.1,2.1,2.1,2,108.16,106.59
2021Jul,107.56,2.2,1.9,1.8,1.7,1.7,1.7,1.7,1.7,1.7,1.7,107.83,106.39
2021Jun,107.36,1.8,1.5,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1.3,107.18,105.87
2021May,107.02,1.7,1.3,1.2,1.2,1.2,1.1,1.1,1.1,1,1,106.88,105.66
2021Apr,106.88,1.5,1.3,1.2,1.1,1.1,1,1,1,1,1,106.72,105.56
2021Mar,106.42,1.2,1.1,1.1,1.1,1.1,1,1,1,1,1,106.54,105.56
