   dates/labels,                posterior mean,        posterior 5\% quantile,       posterior 95\% quantile
        1995Apr,        3.0279500644392447e+00,        1.8108108485967804e+00,        4.2414631386270614e+00
        1995May,        3.0484706570741151e+00,        1.8378995102582962e+00,        4.2383463445886491e+00
        1995Jun,        3.0797371861450347e+00,        1.8890129235529045e+00,        4.2729327228705927e+00
        1995Jul,        3.1091923116544411e+00,        1.9122637601873422e+00,        4.2919171697459291e+00
        1995Aug,        2.9700791089893790e+00,        1.8553382881667630e+00,        4.1183542485433975e+00
        1995Sep,        2.8352354133288871e+00,        1.7558759540841822e+00,        3.9067112648553497e+00
        1995Oct,        2.6951612074278244e+00,        1.6863874940000727e+00,        3.6991785153131742e+00
        1995Nov,        2.5854312765992029e+00,        1.6072871274913965e+00,        3.5856370451158490e+00
        1995Dec,        2.4777145166709555e+00,        1.5132964282228869e+00,        3.4551262474849125e+00
        1996Jan,        2.3721983486403220e+00,        1.4557531546801954e+00,        3.2789168509811049e+00
        1996Feb,        2.2384004542314377e+00,        1.3012692388479792e+00,        3.1570805487497466e+00
        1996Mar,        2.1053641738402153e+00,        1.2206117070359426e+00,        3.0012559234594391e+00
        1996Apr,        1.9787661734853979e+00,        1.1237758876938813e+00,        2.8404404293678454e+00
        1996May,        1.8350527392705414e+00,        9.7686042891278646e-01,        2.7132036929492358e+00
        1996Jun,        1.7016002773530803e+00,        8.5108655162672164e-01,        2.5799143895563361e+00
        1996Jul,        1.5606606830922123e+00,        7.3214758500145649e-01,        2.4089949891113775e+00
        1996Aug,        1.3997210394324207e+00,        5.3862331797839147e-01,        2.2219814527970385e+00
        1996Sep,        1.2352154119250938e+00,        3.4384962200209657e-01,        2.0547127194565462e+00
        1996Oct,        1.0798175813660267e+00,        1.9315293444377346e-01,        1.8918058946177183e+00
        1996Nov,        1.0436352255177632e+00,        1.9387945810078122e-01,        1.8151290940825788e+00
        1996Dec,        1.0103071476361889e+00,        2.1849008341417431e-01,        1.7301321865890991e+00
        1997Jan,        9.7433156780140628e-01,        2.5815900190646346e-01,        1.6315337375925623e+00
        1997Feb,        1.0639426719999421e+00,        4.6096228971990172e-01,        1.6180150071982666e+00
        1997Mar,        1.0780015138707260e+00,        5.6060897994724712e-01,        1.5837390546125789e+00
        1997Apr,        1.0283529099282513e+00,        5.2259554369179284e-01,        1.5110254159209937e+00
        1997May,        1.1688921936630485e+00,        6.9334828852990427e-01,        1.6247176029803541e+00
        1997Jun,        1.1796870963444024e+00,        7.2637602527088063e-01,        1.6279243119363116e+00
        1997Jul,        1.2813101062822105e+00,        8.4418642679750633e-01,        1.7119289015740051e+00
        1997Aug,        1.3898006140201173e+00,        9.6273534801252936e-01,        1.8211400238839053e+00
        1997Sep,        1.4516442346133884e+00,        1.0240589259695270e+00,        1.8881571014784271e+00
        1997Oct,        1.4541044826478127e+00,        1.0263992470550516e+00,        1.8856321302258365e+00
        1997Nov,        1.5793241632302328e+00,        1.1427150067112564e+00,        1.9994668286309079e+00
        1997Dec,        1.5954875624954081e+00,        1.1628260682615448e+00,        2.0432609381942726e+00
        1998Jan,        1.5737567720068295e+00,        1.1481258004481241e+00,        1.9970422898378501e+00
        1998Feb,        1.6695126215741058e+00,        1.2363176688920703e+00,        2.1073053290425321e+00
        1998Mar,        1.7409655041926118e+00,        1.3152906220507319e+00,        2.1491547008705538e+00
        1998Apr,        1.8573976800432932e+00,        1.4288156125983562e+00,        2.2857145898202873e+00
        1998May,        1.8248851174462670e+00,        1.3866443833182363e+00,        2.2633370724532540e+00
        1998Jun,        1.6998307463729592e+00,        1.2884344105702183e+00,        2.1243508946810579e+00
        1998Jul,        1.5847415744308633e+00,        1.1618859471705179e+00,        2.0073564563630395e+00
        1998Aug,        1.6475907477149065e+00,        1.2310182276293347e+00,        2.0661497966296167e+00
        1998Sep,        1.5842540204208702e+00,        1.1618634179402250e+00,        2.0028634885860157e+00
        1998Oct,        1.5065740255085633e+00,        1.0940506697680803e+00,        1.9360491266031090e+00
        1998Nov,        1.2889332571635839e+00,        8.5081363805448973e-01,        1.7246819835651657e+00
        1998Dec,        1.1451687859850530e+00,        7.1421100934881565e-01,        1.5732652392576227e+00
        1999Jan,        1.0572638529881961e+00,        6.1928917221922575e-01,        1.4883375335135014e+00
        1999Feb,        1.1517423813567016e+00,        7.3441397318820378e-01,        1.5641793567942699e+00
        1999Mar,        1.2889716684914441e+00,        8.6315051571266821e-01,        1.6914472871214912e+00
        1999Apr,        1.3301738789457298e+00,        9.0744791604298669e-01,        1.7417456626969283e+00
        1999May,        1.2788189741602494e+00,        8.5908280778061652e-01,        1.6948408928613929e+00
        1999Jun,        1.2889346825161996e+00,        8.6363599587744488e-01,        1.7152189451570905e+00
        1999Jul,        1.3001563047091778e+00,        8.8014234577039119e-01,        1.7144006451887606e+00
        1999Aug,        1.2247373179722951e+00,        8.0054190439216910e-01,        1.6511842404127464e+00
        1999Sep,        1.1667929924948075e+00,        7.3321342457509076e-01,        1.6031567521970373e+00
        1999Oct,        1.2703493606147120e+00,        8.4751733514440275e-01,        1.6933707855652926e+00
