Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=320.MNA.Q.Y.I8.W2.S1.S1.B.B1GQ._Z._Z._Z.IX.D.N
,MNA.Q.Y.I8.W2.S1.S1.B.B1GQ._Z._Z._Z.IX.D.N
,"Gross domestic product at market prices - Euro area 19 (fixed composition) - Domestic (home or reference area), Total economy, Index, Deflator (index), Non transformed data, Calendar and seasonally adjusted data"
Collection:,Average of observations through period (A)
Period\Unit:,
2020Q2,107.55
2020Q1,106.48
2019Q4,105.96
2019Q3,105.33
2019Q2,104.97
2019Q1,104.51
2018Q4,104.14
2018Q3,103.55
2018Q2,103.22
2018Q1,102.83
2017Q4,102.58
2017Q3,102.15
2017Q2,101.90
2017Q1,101.43
2016Q4,101.20
2016Q3,101.05
2016Q2,100.80
2016Q1,100.68
2015Q4,100.39
2015Q3,100.23
2015Q2,99.87
2015Q1,99.51
2014Q4,98.98
2014Q3,98.66
2014Q2,98.47
2014Q1,98.37
2013Q4,97.88
2013Q3,97.81
2013Q2,97.68
2013Q1,97.42
2012Q4,96.95
2012Q3,96.66
2012Q2,96.32
2012Q1,96.08
2011Q4,95.74
2011Q3,95.40
2011Q2,95.09
2011Q1,94.85
2010Q4,94.66
2010Q3,94.47
2010Q2,94.05
2010Q1,93.96
2009Q4,93.80
2009Q3,93.58
2009Q2,93.56
2009Q1,93.74
2008Q4,93.32
2008Q3,92.97
2008Q2,92.75
2008Q1,92.23
2007Q4,91.84
2007Q3,91.10
2007Q2,90.62
2007Q1,90.20
2006Q4,89.46
2006Q3,88.98
2006Q2,88.50
2006Q1,87.97
2005Q4,87.74
2005Q3,87.07
2005Q2,86.73
2005Q1,86.32
2004Q4,85.98
2004Q3,85.52
2004Q2,85.24
2004Q1,84.73
2003Q4,84.26
2003Q3,84.12
2003Q2,83.55
2003Q1,83.04
2002Q4,82.51
2002Q3,82.19
2002Q2,81.59
2002Q1,81.38
2001Q4,80.81
2001Q3,80.19
2001Q2,79.64
2001Q1,79.17
2000Q4,78.60
2000Q3,78.20
2000Q2,77.81
2000Q1,77.51
1999Q4,77.26
1999Q3,77.02
1999Q2,76.87
1999Q1,76.71
1998Q4,76.57
1998Q3,75.84
1998Q2,75.51
1998Q1,75.09
1997Q4,75.21
1997Q3,74.90
1997Q2,74.75
1997Q1,74.96
1996Q4,75.22
1996Q3,75.43
1996Q2,75.10
1996Q1,74.72
1995Q4,74.19
1995Q3,73.72
1995Q2,72.74
1995Q1,72.22
