Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=9691209
,ICP.M.U2.Y.000000.3.INX,ICP.M.U2.Y.XEF000.3.INX
,HICP - Overall index,HICP - All-items excluding energy and food
Collection:,Average of observations through period (A),Average of observations through period (A)
Period\Unit:,[2015 = 100],[2015 = 100]
2020Oct,104.85,104.58
2020Sep,104.75,104.52
2020Aug,104.80,104.55
2020Jul,105.29,105.23
2020Jun,105.07,104.79
2020May,104.86,104.73
2020Apr,104.95,104.67
2020Mar,105.14,104.56
2020Feb,105.46,104.61
2020Jan,105.46,104.47
2019Dec,105.37,104.53
2019Nov,105.26,104.43
2019Oct,105.15,104.36
2019Sep,105.07,104.28
2019Aug,105.00,104.18
2019Jul,104.91,104.04
2019Jun,104.81,103.93
2019May,104.78,103.79
2019Apr,104.64,103.79
2019Mar,104.35,103.48
2019Feb,104.19,103.36
2019Jan,104.05,103.34
2018Dec,104.02,103.22
2018Nov,104.33,103.19
2018Oct,104.33,103.17
2018Sep,104.11,103.11
2018Aug,103.85,103.05
2018Jul,103.74,103.00
2018Jun,103.57,102.88
2018May,103.46,102.90
2018Apr,102.99,102.63
2018Mar,102.88,102.66
2018Feb,102.76,102.48
2018Jan,102.73,102.37
2017Dec,102.43,102.24
2017Nov,102.31,102.16
2017Oct,102.01,101.99
2017Sep,101.97,102.14
2017Aug,101.77,102.04
2017Jul,101.58,101.94
2017Jun,101.52,101.83
2017May,101.55,101.75
2017Apr,101.63,101.73
2017Mar,101.48,101.54
2017Feb,101.60,101.44
2017Jan,101.40,101.34
2016Dec,101.06,101.30
2016Nov,100.75,101.19
2016Oct,100.64,101.09
2016Sep,100.43,100.97
2016Aug,100.31,100.87
2016Jul,100.31,100.81
2016Jun,100.31,100.76
2016May,100.09,100.72
2016Apr,99.82,100.58
2016Mar,99.83,100.69
2016Feb,99.63,100.60
2016Jan,99.69,100.51
2015Dec,99.95,100.43
2015Nov,100.15,100.38
2015Oct,100.11,100.31
2015Sep,100.03,100.18
2015Aug,100.10,100.10
2015Jul,100.18,100.00
2015Jun,100.25,99.96
2015May,100.20,99.90
2015Apr,100.01,99.76
2015Mar,99.91,99.72
2015Feb,99.72,99.70
2015Jan,99.38,99.56
2014Dec,99.53,99.29
2014Nov,99.80,99.19
2014Oct,99.86,99.07
2014Sep,99.97,99.09
2014Aug,99.88,99.05
2014Jul,99.83,98.91
2014Jun,99.83,98.89
2014May,99.75,98.83
2014Apr,99.83,98.90
2014Mar,99.79,98.81
2014Feb,99.84,98.79
2014Jan,99.78,98.65
2013Dec,99.68,98.54
2013Nov,99.49,98.49
2013Oct,99.48,98.35
2013Sep,99.65,98.33
2013Aug,99.60,98.24
2013Jul,99.51,98.21
2013Jun,99.35,98.18
2013May,99.22,98.10
2013Apr,99.18,98.00
2013Mar,99.26,98.03
2013Feb,99.14,97.83
2013Jan,99.01,97.83
2012Dec,98.77,97.75
2012Nov,98.66,97.58
2012Oct,98.74,97.51
2012Sep,98.61,97.39
2012Aug,98.34,97.27
2012Jul,97.99,97.23
2012Jun,97.80,97.08
2012May,97.80,96.92
2012Apr,97.91,96.88
2012Mar,97.66,96.72
2012Feb,97.35,96.61
2012Jan,97.06,96.51
2011Dec,96.63,96.31
2011Nov,96.52,96.19
2011Oct,96.32,96.07
2011Sep,96.10,95.94
2011Aug,95.87,95.84
2011Jul,95.73,95.67
2011Jun,95.50,95.54
2011May,95.48,95.42
2011Apr,95.43,95.36
2011Mar,95.11,95.18
2011Feb,94.75,95.12
2011Jan,94.52,95.01
2010Dec,94.07,94.80
2010Nov,93.75,94.75
2010Oct,93.57,94.68
2010Sep,93.41,94.53
2010Aug,93.31,94.43
2010Jul,93.22,94.34
2010Jun,93.08,94.23
2010May,93.02,94.13
2010Apr,92.96,94.07
2010Mar,92.65,93.98
2010Feb,92.34,93.93
2010Jan,92.30,93.88
2009Dec,92.04,93.83
2009Nov,91.99,93.70
2009Oct,91.81,93.64
2009Sep,91.79,93.57
2009Aug,91.85,93.50
2009Jul,91.62,93.39
2009Jun,91.77,93.35
2009May,91.52,93.33
2009Apr,91.46,93.26
2009Mar,91.32,93.08
2009Feb,91.43,93.03
2009Jan,91.29,92.92
2008Dec,91.23,92.86
2008Nov,91.58,92.77
2008Oct,91.96,92.62
2008Sep,92.09,92.45
2008Aug,92.00,92.31
2008Jul,92.19,92.16
2008Jun,91.91,92.09
2008May,91.49,91.92
2008Apr,90.96,91.72
2008Mar,90.77,91.70
2008Feb,90.34,91.48
2008Jan,90.22,91.39
2007Dec,89.82,91.19
2007Nov,89.69,91.05
2007Oct,89.15,90.88
2007Sep,88.85,90.74
2007Aug,88.65,90.66
2007Jul,88.58,90.59
2007Jun,88.40,90.46
2007May,88.27,90.39
2007Apr,88.08,90.24
2007Mar,87.70,90.00
2007Feb,87.51,89.92
2007Jan,87.38,89.76
2006Dec,87.16,89.50
2006Nov,87.05,89.38
2006Oct,86.95,89.24
2006Sep,87.00,89.12
2006Aug,87.12,88.96
2006Jul,87.01,88.90
2006Jun,86.75,88.79
2006May,86.61,88.63
2006Apr,86.38,88.50
2006Mar,86.07,88.41
2006Feb,85.91,88.27
2006Jan,85.76,88.19
2005Dec,85.54,88.14
2005Nov,85.47,88.04
2005Oct,85.61,87.94
2005Sep,85.50,87.82
2005Aug,85.15,87.72
2005Jul,84.94,87.61
2005Jun,84.67,87.51
2005May,84.51,87.46
2005Apr,84.43,87.32
2005Mar,84.23,87.26
2005Feb,83.92,87.15
2005Jan,83.73,87.10
2004Dec,83.69,87.02
2004Nov,83.59,86.88
2004Oct,83.59,86.76
2004Sep,83.35,86.69
2004Aug,83.31,86.60
2004Jul,83.13,86.45
2004Jun,83.01,86.35
2004May,82.92,86.19
2004Apr,82.69,86.14
2004Mar,82.47,85.94
2004Feb,82.21,85.86
2004Jan,82.09,85.66
2003Dec,81.81,85.41
2003Nov,81.77,85.30
2003Oct,81.70,85.24
2003Sep,81.62,85.14
2003Aug,81.41,84.97
2003Jul,81.23,84.88
2003Jun,81.09,84.78
2003May,80.96,84.68
2003Apr,80.99,84.55
2003Mar,81.09,84.45
2003Feb,80.86,84.29
2003Jan,80.61,84.19
2002Dec,80.23,84.09
2002Nov,80.10,83.98
2002Oct,80.10,83.81
2002Sep,79.96,83.68
2002Aug,79.80,83.59
2002Jul,79.68,83.49
2002Jun,79.50,83.29
2002May,79.49,83.15
2002Apr,79.41,83.00
2002Mar,79.19,82.90
2002Feb,79.01,82.76
2002Jan,78.92,82.62
2001Dec,78.42,82.27
2001Nov,78.33,82.13
2001Oct,78.33,81.97
2001Sep,78.31,81.78
2001Aug,78.13,81.64
2001Jul,78.09,81.49
2001Jun,78.04,81.31
2001May,77.91,81.15
2001Apr,77.57,81.06
2001Mar,77.28,80.87
2001Feb,77.11,80.76
2001Jan,76.88,80.66
2000Dec,76.93,80.62
2000Nov,77.03,80.66
2000Oct,76.80,80.51
2000Sep,76.75,80.40
2000Aug,76.38,80.33
2000Jul,76.23,80.17
2000Jun,76.14,80.15
2000May,75.84,80.01
2000Apr,75.74,79.99
2000Mar,75.75,79.94
2000Feb,75.58,79.90
2000Jan,75.46,79.86
1999Dec,75.35,79.84
1999Nov,75.15,79.78
1999Oct,75.02,79.66
1999Sep,74.90,79.57
1999Aug,74.82,79.57
1999Jul,74.69,79.51
1999Jun,74.53,79.40
1999May,74.50,79.33
1999Apr,74.52,79.28
1999Mar,74.25,79.19
1999Feb,74.10,79.09
1999Jan,74.08,79.03
1998Dec,74.08,79.03
1998Nov,74.08,78.98
1998Oct,74.06,78.93
1998Sep,74.03,78.85
1998Aug,74.00,78.76
1998Jul,73.93,78.63
1998Jun,73.90,78.60
1998May,73.82,78.50
1998Apr,73.73,78.38
1998Mar,73.60,78.25
1998Feb,73.57,78.16
1998Jan,73.54,78.05
