Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=9691566
,SPF.A.U2.HICP.POINT.P3M.Q.AVG,SPF.A.U2.HICP.POINT.P6M.Q.AVG,SPF.A.U2.HICP.POINT.P9M.Q.AVG
,Target period ends 3 months after survey cycle begins,Target period ends 6 months after survey cycle begins,Target period ends 9 months after survey cycle begins
Collection:,Average of observations through period (A),Average of observations through period (A),Average of observations through period (A)
Period\Unit:,[Percent per annum ],[Percent per annum ],[Percent per annum ]
2020,0.30,0.39,0.43
2019,1.21,1.26,1.37
2018,1.74,1.68,1.51
2017,1.53,1.52,1.57
2016,0.22,0.25,0.25
2015,0.11,0.24,0.09
2014,0.53,0.71,0.87
2013,1.45,1.52,1.68
2012,2.48,2.33,2.32
2011,2.60,2.64,2.53
2010,1.49,1.45,1.37
2009,0.28,0.38,0.47
2008,3.43,3.58,2.99
2007,1.99,2.02,1.90
2006,2.22,2.28,2.13
2005,2.22,2.05,1.94
2004,2.12,2.10,1.78
2003,2.02,1.94,1.99
2002,2.20,2.15,2.07
2001,2.61,2.70,2.26
2000,2.29,2.07,1.87
1999,1.13,1.12,1.12
