DATE	CPIAUCSL	MEDCPIM158SFRBCLE	PCEPI	PCEPILFE	PCETRIM12M159SFRBDAL	TRMMEANCPIM158SFRBCLE
1947-01-01	21.480					
1947-02-01	21.620					
1947-03-01	22.000					
1947-04-01	22.000					
1947-05-01	21.950					
1947-06-01	22.080					
1947-07-01	22.230					
1947-08-01	22.400					
1947-09-01	22.840					
1947-10-01	22.910					
1947-11-01	23.060					
1947-12-01	23.410					
1948-01-01	23.680					
1948-02-01	23.670					
1948-03-01	23.500					
1948-04-01	23.820					
1948-05-01	24.010					
1948-06-01	24.150					
1948-07-01	24.400					
1948-08-01	24.430					
1948-09-01	24.360					
1948-10-01	24.310					
1948-11-01	24.160					
1948-12-01	24.050					
1949-01-01	24.010					
1949-02-01	23.910					
1949-03-01	23.910					
1949-04-01	23.920					
1949-05-01	23.910					
1949-06-01	23.920					
1949-07-01	23.700					
1949-08-01	23.700					
1949-09-01	23.750					
1949-10-01	23.670					
1949-11-01	23.700					
1949-12-01	23.610					
1950-01-01	23.510					
1950-02-01	23.610					
1950-03-01	23.640					
1950-04-01	23.650					
1950-05-01	23.770					
1950-06-01	23.880					
1950-07-01	24.070					
1950-08-01	24.200					
1950-09-01	24.340					
1950-10-01	24.500					
1950-11-01	24.600					
1950-12-01	24.980					
1951-01-01	25.380					
1951-02-01	25.830					
1951-03-01	25.880					
1951-04-01	25.920					
1951-05-01	25.990					
1951-06-01	25.930					
1951-07-01	25.910					
1951-08-01	25.860					
1951-09-01	26.030					
1951-10-01	26.160					
1951-11-01	26.320					
1951-12-01	26.470					
1952-01-01	26.450					
1952-02-01	26.410					
1952-03-01	26.390					
1952-04-01	26.460					
1952-05-01	26.470					
1952-06-01	26.530					
1952-07-01	26.680					
1952-08-01	26.690					
1952-09-01	26.630					
1952-10-01	26.690					
1952-11-01	26.690					
1952-12-01	26.710					
1953-01-01	26.640					
1953-02-01	26.590					
1953-03-01	26.630					
1953-04-01	26.690					
1953-05-01	26.700					
1953-06-01	26.770					
1953-07-01	26.790					
1953-08-01	26.850					
1953-09-01	26.890					
1953-10-01	26.950					
1953-11-01	26.850					
1953-12-01	26.870					
1954-01-01	26.940					
1954-02-01	26.990					
1954-03-01	26.930					
1954-04-01	26.860					
1954-05-01	26.930					
1954-06-01	26.940					
1954-07-01	26.860					
1954-08-01	26.850					
1954-09-01	26.810					
1954-10-01	26.720					
1954-11-01	26.780					
1954-12-01	26.770					
1955-01-01	26.770					
1955-02-01	26.820					
1955-03-01	26.790					
1955-04-01	26.790					
1955-05-01	26.770					
1955-06-01	26.710					
1955-07-01	26.760					
1955-08-01	26.720					
1955-09-01	26.850					
1955-10-01	26.820					
1955-11-01	26.880					
1955-12-01	26.870					
1956-01-01	26.830					
1956-02-01	26.860					
1956-03-01	26.890					
1956-04-01	26.930					
1956-05-01	27.030					
1956-06-01	27.150					
1956-07-01	27.290					
1956-08-01	27.310					
1956-09-01	27.350					
1956-10-01	27.510					
1956-11-01	27.510					
1956-12-01	27.630					
1957-01-01	27.670					
1957-02-01	27.800					
1957-03-01	27.860					
1957-04-01	27.930					
1957-05-01	28.000					
1957-06-01	28.110					
1957-07-01	28.190					
1957-08-01	28.280					
1957-09-01	28.320					
1957-10-01	28.320					
1957-11-01	28.410					
1957-12-01	28.470					
1958-01-01	28.640					
1958-02-01	28.700					
1958-03-01	28.870					
1958-04-01	28.940					
1958-05-01	28.940					
1958-06-01	28.910					
1958-07-01	28.890					
1958-08-01	28.940					
1958-09-01	28.910					
1958-10-01	28.910					
1958-11-01	28.950					
1958-12-01	28.970					
1959-01-01	29.010		16.074	16.727		
1959-02-01	29.000		16.089	16.740		
1959-03-01	28.970		16.100	16.759		
1959-04-01	28.980		16.132	16.801		
1959-05-01	29.040		16.140	16.822		
1959-06-01	29.110		16.186	16.871		
1959-07-01	29.150		16.220	16.911		
1959-08-01	29.180		16.244	16.938		
1959-09-01	29.250		16.286	16.983		
1959-10-01	29.350		16.326	17.012		
1959-11-01	29.350		16.336	17.043		
1959-12-01	29.410		16.355	17.069		
1960-01-01	29.370		16.346	17.073		
1960-02-01	29.410		16.363	17.105		
1960-03-01	29.410		16.372	17.107		
1960-04-01	29.540		16.432	17.138		
1960-05-01	29.570		16.449	17.166		
1960-06-01	29.610		16.456	17.176		
1960-07-01	29.550		16.485	17.206		
1960-08-01	29.610		16.513	17.231		
1960-09-01	29.610		16.523	17.244		
1960-10-01	29.750		16.542	17.255		
1960-11-01	29.780		16.598	17.301		
1960-12-01	29.810		16.601	17.295		
1961-01-01	29.840		16.604	17.300		
1961-02-01	29.840		16.620	17.317		
1961-03-01	29.840		16.610	17.322		
1961-04-01	29.810		16.600	17.346		
1961-05-01	29.840		16.609	17.369		
1961-06-01	29.840		16.617	17.395		
1961-07-01	29.920		16.653	17.422		
1961-08-01	29.940		16.667	17.440		
1961-09-01	29.980		16.686	17.475		
1961-10-01	29.980		16.685	17.481		
1961-11-01	29.980		16.686	17.483		
1961-12-01	30.010		16.690	17.499		
1962-01-01	30.040		16.721	17.519		
1962-02-01	30.110		16.767	17.548		
1962-03-01	30.170		16.789	17.589		
1962-04-01	30.210		16.808	17.593		
1962-05-01	30.240		16.818	17.617		
1962-06-01	30.210		16.829	17.649		
1962-07-01	30.220		16.819	17.664		
1962-08-01	30.280		16.844	17.667		
1962-09-01	30.420		16.927	17.702		
1962-10-01	30.380		16.909	17.701		
1962-11-01	30.380		16.922	17.713		
1962-12-01	30.380		16.914	17.718		
1963-01-01	30.440		16.956	17.753		
1963-02-01	30.480		16.974	17.773		
1963-03-01	30.510		16.961	17.783		
1963-04-01	30.480		16.960	17.805		
1963-05-01	30.510		16.987	17.837		
1963-06-01	30.610		17.024	17.868		
1963-07-01	30.690		17.058	17.884		
1963-08-01	30.750		17.081	17.900		
1963-09-01	30.720		17.078	17.932		
1963-10-01	30.750		17.111	17.972		
1963-11-01	30.780		17.135	17.989		
1963-12-01	30.880		17.161	18.014		
1964-01-01	30.940		17.197	18.039		
1964-02-01	30.910		17.221	18.074		
1964-03-01	30.940		17.231	18.090		
1964-04-01	30.950		17.245	18.107		
1964-05-01	30.980		17.246	18.123		
1964-06-01	31.010		17.271	18.136		
1964-07-01	31.020		17.293	18.154		
1964-08-01	31.050		17.306	18.177		
1964-09-01	31.080		17.333	18.185		
1964-10-01	31.120		17.343	18.192		
1964-11-01	31.210		17.368	18.218		
1964-12-01	31.250		17.393	18.244		
1965-01-01	31.280		17.412	18.268		
1965-02-01	31.280		17.419	18.291		
1965-03-01	31.310		17.442	18.301		
1965-04-01	31.380		17.469	18.323		
1965-05-01	31.480		17.508	18.357		
1965-06-01	31.610		17.559	18.352		
1965-07-01	31.580		17.572	18.370		
1965-08-01	31.550		17.576	18.405		
1965-09-01	31.620		17.584	18.427		
1965-10-01	31.650		17.590	18.420		
1965-11-01	31.750		17.620	18.455		
1965-12-01	31.850		17.684	18.511		
1966-01-01	31.880		17.704	18.516		
1966-02-01	32.080		17.778	18.562		
1966-03-01	32.180		17.821	18.585		
1966-04-01	32.280		17.883	18.651		
1966-05-01	32.350		17.905	18.701		
1966-06-01	32.380		17.950	18.762		
1966-07-01	32.450		17.984	18.817		
1966-08-01	32.650		18.053	18.852		
1966-09-01	32.750		18.110	18.909		
1966-10-01	32.850		18.158	18.971		
1966-11-01	32.880		18.185	19.019		
1966-12-01	32.920		18.222	19.077		
1967-01-01	32.900		18.224	19.095		
1967-02-01	33.000		18.245	19.129		
1967-03-01	33.000		18.255	19.158		
1967-04-01	33.100		18.285	19.211		
1967-05-01	33.100		18.320	19.253		
1967-06-01	33.300		18.379	19.302		
1967-07-01	33.400		18.441	19.368		
1967-08-01	33.500		18.499	19.427		
1967-09-01	33.600		18.555	19.496		
1967-10-01	33.700		18.606	19.569		
1967-11-01	33.900		18.668	19.631		
1967-12-01	34.000		18.698	19.679		
1968-01-01	34.100		18.784	19.766		
1968-02-01	34.200		18.861	19.852		
1968-03-01	34.300		18.923	19.931		
1968-04-01	34.400		18.982	20.004		
1968-05-01	34.500		19.052	20.080		
